"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Manejo de pedidos de venta","Editar pedido","0","0","1","0","0"
"","Manejo de usuarios","Listar usuario","0","0","1","0","0"
"","Manejo de pedidos de venta","Listar pedidos","0","0","1","0","0"
"","Inicio de sesion","Inicio de sesión exitoso","0","0","1","0","0"
"","Operaciones con Repuestos","Agregar un nuevo repuesto","0","0","4","0","0"
"","Manejo de usuarios","Editar usuario","0","0","1","0","0"
"","Manejo de pedidos de venta","Agregar pedido","0","0","1","0","0"
"","Operaciones con Repuestos","Listar los repuestos","0","0","1","0","0"
"","Manejo de usuarios","Agregar usuario","0","0","1","0","0"
"","Operaciones con Repuestos","Obtener un repuesto específico","0","0","1","0","0"
"","Manejo de pedidos de venta","Ver pedidos de una boleta","0","0","1","0","0"
"","Operaciones con Repuestos","Editar un repuesto existente","0","0","1","0","0"
