"Status","Name","Duration in ms","Description"
"passed","Manejo de pedidos de venta: Editar pedido","8",""
"passed","Manejo de usuarios: Listar usuario","46",""
"passed","Manejo de pedidos de venta: Listar pedidos","128",""
"passed","Inicio de sesion: Inicio de sesión exitoso","275",""
"passed","Operaciones con Repuestos: Agregar un nuevo repuesto","9",""
"passed","Manejo de usuarios: Editar usuario","11",""
"passed","Manejo de pedidos de venta: Agregar pedido","51",""
"passed","Operaciones con Repuestos: Listar los repuestos","26",""
"passed","Operaciones con Repuestos: Agregar un nuevo repuesto","9",""
"passed","Manejo de usuarios: Agregar usuario","63",""
"passed","Operaciones con Repuestos: Obtener un repuesto específico","10",""
"passed","Operaciones con Repuestos: Agregar un nuevo repuesto","32",""
"passed","Operaciones con Repuestos: Agregar un nuevo repuesto","11",""
"passed","Manejo de pedidos de venta: Ver pedidos de una boleta","8",""
"passed","Operaciones con Repuestos: Editar un repuesto existente","10",""
